age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
13,Private,176999,HS-grad,12,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,118,2686,41,United-States,<=50K
33,Federal-gov,192405,Some-college,9,Divorced,Craft-repair,Not-in-family,White,Female,-186,13,51,?,<=50K
30,Private,202980,Bachelors,9,Married-civ-spouse,?,Unmarried,White,Male,-85,-17,37,United-States,<=50K
24,Private,179920,HS-grad,13,Never-married,?,Not-in-family,Asian-Pac-Islander,Female,-310,8,40,?,<=50K
36,Self-emp-not-inc,268299,HS-grad,12,Married-civ-spouse,Transport-moving,Husband,Asian-Pac-Islander,Male,169,13,39,United-States,>50K
32,Private,228148,11th,13,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,-239,-3,41,United-States,<=50K
33,Private,30865,HS-grad,15,Never-married,Sales,Not-in-family,White,Male,11,18,70,United-States,<=50K
15,Private,157568,Bachelors,10,Divorced,Transport-moving,Own-child,White,Female,-312,9,48,United-States,<=50K
30,Private,263357,HS-grad,13,Married-civ-spouse,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,-139,8,45,United-States,<=50K
16,Private,499379,7th-8th,14,Married-civ-spouse,Other-service,Not-in-family,White,Male,158,2454,41,United-States,<=50K
22,Self-emp-not-inc,474008,HS-grad,13,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Female,267,23,51,United-States,>50K
47,Private,208850,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Female,-185,18,53,United-States,<=50K
27,Self-emp-inc,140285,HS-grad,15,Divorced,Prof-specialty,Wife,White,Female,-294,16,63,United-States,<=50K
21,Private,216279,Some-college,13,Married-civ-spouse,Transport-moving,Not-in-family,Black,Female,-156,-4,41,United-States,<=50K
18,Private,221096,11th,11,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,-29,-6,91,United-States,<=50K
28,Private,210912,HS-grad,10,Never-married,Sales,Unmarried,White,Female,-261,3,40,?,>50K
41,Private,97533,9th,13,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,-42,0,41,United-States,<=50K
39,Private,223502,HS-grad,13,Married-civ-spouse,Other-service,Own-child,White,Female,-272,9,41,United-States,<=50K
47,Private,216978,Assoc-voc,15,Widowed,Exec-managerial,Husband,White,Male,318,17,22,Cuba,<=50K
14,Private,201285,HS-grad,10,Never-married,Other-service,Not-in-family,White,Female,-323,8,44,United-States,>50K
63,Local-gov,28958,HS-grad,10,Separated,Transport-moving,Not-in-family,White,Female,301,-8,42,United-States,>50K
32,Self-emp-not-inc,247897,12th,9,Never-married,Prof-specialty,Own-child,White,Male,7,13,56,United-States,<=50K
26,Private,316255,Prof-school,9,Widowed,Adm-clerical,Husband,Black,Female,-152,8,48,United-States,>50K
55,?,149998,HS-grad,9,Divorced,Craft-repair,Own-child,White,Male,-197,3,51,United-States,<=50K
37,Private,260487,HS-grad,10,Never-married,Machine-op-inspct,Own-child,White,Male,336,-16,41,United-States,<=50K
35,Local-gov,237152,Some-college,13,Divorced,Craft-repair,Other-relative,Black,Female,101,18,41,United-States,<=50K
20,Private,396841,HS-grad,14,Married-spouse-absent,Sales,Own-child,White,Female,-331,5,41,United-States,<=50K
35,Private,182020,Masters,10,Divorced,Prof-specialty,Husband,Black,Male,4,7,96,United-States,<=50K
31,Private,286509,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,-291,0,48,United-States,<=50K
28,Private,524673,HS-grad,11,Divorced,Sales,Own-child,White,Female,-260,5,45,Hong,<=50K
35,State-gov,177266,Prof-school,10,Married-civ-spouse,Other-service,Not-in-family,Black,Female,-96,18,48,United-States,<=50K
23,Private,68292,Doctorate,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,-97,5,40,United-States,<=50K
37,Private,156943,Masters,6,Married-civ-spouse,Priv-house-serv,Own-child,Asian-Pac-Islander,Female,154,14,40,United-States,>50K
44,Private,396395,10th,12,Never-married,Adm-clerical,Not-in-family,White,Male,252,-2,47,United-States,<=50K
28,State-gov,224257,Bachelors,9,Never-married,Prof-specialty,Own-child,Amer-Indian-Eskimo,Male,21,-7,69,Jamaica,<=50K
39,State-gov,544414,Some-college,12,Never-married,Priv-house-serv,Husband,Black,Male,-330,22,40,South,<=50K
44,Private,194595,HS-grad,4,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Female,-431,6,89,Cuba,<=50K
31,Private,374684,11th,10,Married-civ-spouse,Sales,Own-child,Black,Female,67,-7,40,United-States,<=50K
23,Private,236665,Bachelors,10,Married-civ-spouse,Exec-managerial,Unmarried,Black,Female,-365,2780,41,United-States,<=50K
35,Private,679567,Some-college,10,Never-married,Exec-managerial,Other-relative,Black,Male,-319,0,43,United-States,<=50K
18,Private,241460,HS-grad,15,Never-married,Other-service,Own-child,Black,Female,-154,6,49,United-States,<=50K
47,Self-emp-inc,210505,Bachelors,10,Married-civ-spouse,Exec-managerial,Unmarried,Black,Female,-220,16,50,Mexico,<=50K
21,Private,223117,Assoc-voc,14,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Female,-87,12,48,France,>50K
27,State-gov,140515,HS-grad,13,Never-married,Sales,Not-in-family,White,Female,124,-3,30,United-States,<=50K
42,Private,345929,Assoc-voc,12,Never-married,Adm-clerical,Own-child,White,Female,-334,17,40,United-States,<=50K
29,Private,99630,HS-grad,12,Married-civ-spouse,Prof-specialty,Husband,White,Female,5,-3,41,United-States,<=50K
33,State-gov,-17781,HS-grad,10,Married-civ-spouse,Craft-repair,Wife,Amer-Indian-Eskimo,Female,20,8,51,Columbia,<=50K
17,Private,743359,Bachelors,13,Widowed,Handlers-cleaners,Not-in-family,White,Male,-273,16,47,Honduras,<=50K
55,Private,136415,Some-college,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,-65,23,46,United-States,<=50K
21,?,244902,HS-grad,13,Married-civ-spouse,Craft-repair,Own-child,Black,Male,-145,-1,60,Honduras,<=50K
21,Self-emp-not-inc,205584,Some-college,13,Married-civ-spouse,?,Unmarried,White,Female,248,-15,41,United-States,<=50K
35,Private,262269,1st-4th,4,Married-civ-spouse,Machine-op-inspct,Unmarried,Asian-Pac-Islander,Male,162,-7,54,Outlying-US(Guam-USVI-etc),<=50K
50,Private,213384,Assoc-voc,9,Married-civ-spouse,?,Own-child,White,Female,-218,14,41,United-States,<=50K
