 sentence,emotional reaction
"I appreciate your help, thank you!",Gratitude
I'm really struggling with this project right now,Stress
I've been looking forward to meeting you all day!,Excitement
I'm not sure if I can make it to the meeting today,Anxiety
Can you believe it's already December? The year went by so fast.,Shock
"I'm so proud of you for sticking with it, don't give up now.",Encouragement
"I've been having a terrible day, I just need some space.",Sadness
"I can't believe you're leaving, it's going to be hard without you.",Sadness
I'm so excited to start my new job next week!,Excitement
I'm really disappointed in myself for missing the deadline.,Disappointment
