age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
56,Private,484853,HS-grad,10,Married-civ-spouse,Farming-fishing,Own-child,White,Male,-102,15,31,United-States,>50K
29,Self-emp-not-inc,119081,HS-grad,13,Married-civ-spouse,Other-service,Not-in-family,Black,Male,-409,2,35,United-States,>50K
62,Private,174632,HS-grad,13,Married-civ-spouse,Machine-op-inspct,Husband,Other,Female,11,14,41,United-States,>50K
33,Self-emp-inc,167080,Some-college,10,Married-civ-spouse,Tech-support,Unmarried,White,Female,-333,6,25,United-States,<=50K
45,Federal-gov,93713,HS-grad,13,Divorced,Transport-moving,Unmarried,White,Female,-314,-12,40,United-States,<=50K
50,Private,368097,Some-college,13,Married-civ-spouse,Adm-clerical,Own-child,White,Male,-202,9,41,United-States,<=50K
59,?,253590,HS-grad,10,Divorced,?,Unmarried,Black,Female,1640,0,27,Ecuador,>50K
60,?,109950,HS-grad,14,Married-civ-spouse,Adm-clerical,Husband,White,Male,-70,4,41,United-States,<=50K
40,Private,235420,Bachelors,9,Married-civ-spouse,Sales,Husband,Black,Female,-357,17,40,United-States,>50K
63,Self-emp-not-inc,189515,HS-grad,13,Widowed,Adm-clerical,Not-in-family,White,Male,-111,-2,40,United-States,<=50K
24,Private,210883,7th-8th,17,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,-112,6,40,United-States,>50K
53,Private,217657,HS-grad,9,Never-married,Craft-repair,Wife,White,Male,-171,2036,40,United-States,<=50K
36,Self-emp-inc,812239,HS-grad,10,Divorced,Prof-specialty,Unmarried,White,Female,-216,-5,51,United-States,<=50K
59,Private,311712,Bachelors,8,Never-married,Sales,Own-child,White,Female,4034,1832,47,United-States,<=50K
38,Self-emp-not-inc,175166,Bachelors,9,Separated,Adm-clerical,Husband,Black,Male,-249,3,52,India,<=50K
63,Self-emp-not-inc,109261,Some-college,13,Never-married,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,-219,-1,48,Germany,>50K
19,Self-emp-not-inc,212913,Some-college,7,Divorced,Prof-specialty,Husband,White,Female,-279,-4,48,?,>50K
28,Private,298657,HS-grad,13,Married-civ-spouse,Adm-clerical,Unmarried,White,Female,5542,3,48,United-States,<=50K
43,Private,201280,Bachelors,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,-137,11,40,United-States,>50K
33,Private,520299,HS-grad,7,Separated,Exec-managerial,Husband,White,Male,-356,0,46,United-States,>50K
