age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
42,Self-emp-not-inc,104756,Assoc-acdm,8,Married-spouse-absent,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
32,Private,440934,Masters,10,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,0,0,45,United-States,<=50K
32,Private,215014,Some-college,13,Divorced,Other-service,Wife,Black,Male,594,0,40,United-States,<=50K
43,Self-emp-inc,99183,Some-college,7,Divorced,Tech-support,Not-in-family,Asian-Pac-Islander,Male,0,2824,28,United-States,<=50K
18,Private,187370,Some-college,10,Married-civ-spouse,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
18,Private,338376,Bachelors,9,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,10,United-States,<=50K
65,Private,356231,10th,15,Married-civ-spouse,Exec-managerial,Not-in-family,Black,Male,0,0,40,United-States,<=50K
32,Local-gov,379393,Some-college,15,Married-civ-spouse,Handlers-cleaners,Own-child,White,Female,0,0,75,United-States,<=50K
27,Private,273194,Some-college,6,Married-spouse-absent,Adm-clerical,Husband,White,Male,0,0,40,Germany,<=50K
46,?,210857,Prof-school,10,Married-spouse-absent,Craft-repair,Unmarried,White,Female,0,0,40,Cambodia,<=50K
68,Private,232945,Bachelors,10,Divorced,Sales,Unmarried,White,Female,0,0,30,Canada,<=50K
71,Private,37232,Assoc-voc,7,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
55,Federal-gov,256062,HS-grad,13,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
77,?,175856,Assoc-voc,13,Married-civ-spouse,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States,<=50K
29,Private,243560,HS-grad,13,Separated,Other-service,Not-in-family,White,Male,0,0,50,United-States,<=50K
58,?,118584,Assoc-voc,10,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,1579,60,United-States,<=50K
34,Private,409173,Bachelors,14,Divorced,Tech-support,Husband,Black,Male,0,0,40,United-States,<=50K
56,Self-emp-not-inc,186791,HS-grad,15,Never-married,Craft-repair,Not-in-family,White,Female,0,0,30,United-States,<=50K
27,?,341846,Assoc-acdm,10,Divorced,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
47,Private,352712,Some-college,10,Married-civ-spouse,Other-service,Unmarried,Asian-Pac-Islander,Female,2829,0,50,United-States,<=50K
